航班号,sequenceNo,marketAirlineCode,航空公司,marketAlliance,出发国家,departureCountryCode,departureProvinceId,departureCityId,departureCityCode,出发城市,出发机场三字码,出发机场,departureAirportShortName,departureTerminal,到达国家,arrivalCountryCode,arrivalProvinceId,arrivalCityId,arrivalCityCode,到达城市,到达机场三字码,到达机场,arrivalAirportShortName,arrivalTerminal,飞行时长,transferDuration,飞机型号三字码,飞机型号,飞机尺寸,departureDateTime,arrivalDateTime,leakedVisaTagSwitch,highLightPlaneNo,停留次数,istTransitService,mainSegment,出发日期,出发时间,到达日期,到达时间,isLowCostCarrier,operateAirlineCode,operateAirlineName,operateAlliance,operateFlightNo,economy_origin,economy_tax,economy_total,economy_full,bussiness_origin,bussiness_tax,bussiness_total,bussiness_full,数据获取日期
MU575,1,MU,东方航空,天合联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,185,0,773,波音777(大),L,2024-04-01 17:15:00,2024-04-01 21:20:00,False,False,0,False,True,2024-04-01,17:15:00,2024-04-01,21:20:00,,,,,,2730,404,3134,3750,,,,,2024-02-12
MU727,1,MU,东方航空,天合联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,185,0,325,空客321(中),M,2024-04-01 07:55:00,2024-04-01 12:00:00,False,False,0,False,True,2024-04-01,07:55:00,2024-04-01,12:00:00,,,,,,3030,404,3434,4050,,,,,2024-02-12
9C8515,1,9C,春秋航空,,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,170,0,320,空客320(中),M,2024-04-01 19:10:00,2024-04-01 23:00:00,False,False,0,False,True,2024-04-01,19:10:00,2024-04-01,23:00:00,True,,,,,1200,402,1602,2168,,,,,2024-02-12
HO3139,1,HO,吉祥航空,星空联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,,175,0,320,空客320(中),M,2024-04-01 08:25:00,2024-04-01 12:20:00,False,False,0,False,True,2024-04-01,08:25:00,2024-04-01,12:20:00,,NH,全日空航空,星空联盟,NH972,2060,458,2518,3100,,,,,2024-02-12
NH968,1,NH,全日空航空,星空联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,,175,0,788,波音787(大),L,2024-04-01 01:35:00,2024-04-01 05:30:00,False,False,0,False,True,2024-04-01,01:35:00,2024-04-01,05:30:00,,,,,,2281,458,2739,3321,,,,,2024-02-12
CA919,1,CA,中国国航,星空联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,160,0,32A,空客320(中),M,2024-04-01 15:05:00,2024-04-01 18:45:00,False,False,0,False,True,2024-04-01,15:05:00,2024-04-01,18:45:00,,,,,,2300,400,2700,3232,,,,,2024-02-12
NH972,1,NH,全日空航空,星空联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,,175,0,320,空客320(中),M,2024-04-01 08:25:00,2024-04-01 12:20:00,False,False,0,False,True,2024-04-01,08:25:00,2024-04-01,12:20:00,,,,,,2363,458,2821,3403,,,,,2024-02-12
MU537,1,MU,东方航空,天合联盟,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,180,0,33L,空客330(大),L,2024-04-01 09:30:00,2024-04-01 13:30:00,False,False,0,False,True,2024-04-01,09:30:00,2024-04-01,13:30:00,,,,,,4900,404,5304,5903,,,,,2024-02-12
JL086,1,JL,日本航空,寰宇一家,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,180,0,767,波音767(大),L,2024-04-01 16:05:00,2024-04-01 20:05:00,False,False,0,False,True,2024-04-01,16:05:00,2024-04-01,20:05:00,,,,,,1905,553,2458,3057,,,,,2024-02-12
CA929,1,CA,中国国航,星空联盟,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,165,0,359,空客350(大),L,2024-04-01 09:55:00,2024-04-01 13:40:00,False,False,0,False,True,2024-04-01,09:55:00,2024-04-01,13:40:00,,,,,,2300,400,2700,3249,,,,,2024-02-12
