航班号,sequenceNo,marketAirlineCode,航空公司,marketAlliance,出发国家,departureCountryCode,departureProvinceId,departureCityId,departureCityCode,出发城市,出发机场三字码,出发机场,departureAirportShortName,departureTerminal,到达国家,arrivalCountryCode,arrivalProvinceId,arrivalCityId,arrivalCityCode,到达城市,到达机场三字码,到达机场,arrivalAirportShortName,arrivalTerminal,飞行时长,transferDuration,飞机型号三字码,飞机型号,飞机尺寸,departureDateTime,arrivalDateTime,leakedVisaTagSwitch,highLightPlaneNo,停留次数,istTransitService,mainSegment,出发日期,出发时间,到达日期,到达时间,isLowCostCarrier,operateAirlineCode,operateAirlineName,operateAlliance,operateFlightNo,stopList,economy_origin,economy_tax,economy_total,economy_full,bussiness_origin,bussiness_tax,bussiness_total,bussiness_full,数据获取日期
JL735,1,JL,日本航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,280,0,788,波音787(大),L,2024-04-01 18:20:00,2024-04-01 22:00:00,False,False,0,False,True,2024-04-01,18:20:00,2024-04-01,22:00:00,,,,,,,10355,689,11044,11976,,,,,2024-03-05
HB323,1,HB,大湾区航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,300,0,738,波音737(中),M,2024-04-01 17:40:00,2024-04-01 21:40:00,False,False,0,False,True,2024-04-01,17:40:00,2024-04-01,21:40:00,,,,,,,2308,648,2956,3955,,,,,2024-03-05
HB2325,1,HB,大湾区航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,300,0,738,波音737(中),M,2024-04-01 20:10:00,2024-04-02 00:10:00,False,False,0,False,True,2024-04-01,20:10:00,2024-04-02,00:10:00,,,,,,,1550,648,2198,3197,,,,,2024-03-05
UO849,1,UO,香港快运航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,295,0,321,空客321(中),M,2024-04-01 15:45:00,2024-04-01 19:40:00,False,False,0,False,True,2024-04-01,15:45:00,2024-04-01,19:40:00,True,,,,,,2014,601,2615,3597,,,,,2024-03-05
JL029,1,JL,日本航空,寰宇一家,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,275,0,789,波音787(大),L,2024-04-01 09:55:00,2024-04-01 13:30:00,False,False,0,False,True,2024-04-01,09:55:00,2024-04-01,13:30:00,,,,,,,10595,686,11281,12196,,,,,2024-03-05
NH859,1,NH,全日空航空,星空联盟,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,280,0,788,波音787(大),L,2024-04-01 08:50:00,2024-04-01 12:30:00,False,False,0,False,True,2024-04-01,08:50:00,2024-04-01,12:30:00,True,NQ,Air Japan航空,,,,12102,718,12820,13752,,,,,2024-03-05
UO651,1,UO,香港快运航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,295,0,321,空客321(中),M,2024-04-01 20:40:00,2024-04-02 00:35:00,False,False,0,False,True,2024-04-01,20:40:00,2024-04-02,00:35:00,True,,,,,,1786,601,2387,3369,,,,,2024-03-05
HX611,1,HX,香港航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,295,0,333,空客330(大),L,2024-04-01 21:55:00,2024-04-02 01:50:00,False,False,0,False,True,2024-04-01,21:55:00,2024-04-02,01:50:00,,,,,,,1907,630,2537,3519,,,,,2024-03-05
CX543,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,285,0,333,空客330(大),L,2024-04-01 10:05:00,2024-04-01 13:50:00,False,False,0,False,True,2024-04-01,10:05:00,2024-04-01,13:50:00,,,,,,,3509,721,4230,5179,,,,,2024-03-05
HB321,1,HB,大湾区航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,300,0,738,波音737(中),M,2024-04-01 15:50:00,2024-04-01 19:50:00,False,False,0,False,True,2024-04-01,15:50:00,2024-04-01,19:50:00,,,,,,,1865,648,2513,3512,,,,,2024-03-05
CX6321,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,275,0,789,波音787(大),L,2024-04-01 09:55:00,2024-04-01 13:30:00,False,False,0,False,True,2024-04-01,09:55:00,2024-04-01,13:30:00,,JL,日本航空,寰宇一家,JL029,,10877,721,11598,12513,,,,,2024-03-05
CX521,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,290,0,333,空客330(大),L,2024-04-01 17:15:00,2024-04-01 21:05:00,False,False,0,False,True,2024-04-01,17:15:00,2024-04-01,21:05:00,,,,,,,4263,720,4983,5948,,,,,2024-03-05
UO623,1,UO,香港快运航空,,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,280,0,321,空客321(中),M,2024-04-01 01:00:00,2024-04-01 04:40:00,False,False,0,False,True,2024-04-01,01:00:00,2024-04-01,04:40:00,True,,,,,,1786,603,2389,3321,,,,,2024-03-05
CX527,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,300,0,333,空客330(大),L,2024-04-01 14:50:00,2024-04-01 18:50:00,False,False,0,False,True,2024-04-01,14:50:00,2024-04-01,18:50:00,,,,,,,3358,720,4078,5077,,,,,2024-03-05
CX451,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,405,0,333,空客330(大),L,2024-04-01 15:45:00,2024-04-01 21:30:00,False,False,1,False,True,2024-04-01,15:45:00,2024-04-01,21:30:00,,,,,,"[{'countryName': '中国', 'provinceId': 53, 'cityCode': 'TPE', 'cityName': '台北', 'airportCode': 'TPE', 'airportName': '桃园机场', 'duration': 70, 'luggageDirectType': 0}]",5531,834,6365,7713,,,,,2024-03-05
HX607,1,HX,香港航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,300,0,320,空客320(中),M,2024-04-01 09:30:00,2024-04-01 13:30:00,False,False,0,False,True,2024-04-01,09:30:00,2024-04-01,13:30:00,,,,,,,1499,630,2129,3128,,,,,2024-03-05
UO871,1,UO,香港快运航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,295,0,321,空客321(中),M,2024-04-01 17:05:00,2024-04-01 21:00:00,False,False,0,False,True,2024-04-01,17:05:00,2024-04-01,21:00:00,True,,,,,,2376,601,2977,3959,,,,,2024-03-05
HX609,1,HX,香港航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,305,0,333,空客330(大),L,2024-04-01 15:55:00,2024-04-01 20:00:00,False,False,0,False,True,2024-04-01,15:55:00,2024-04-01,20:00:00,,,,,,,1907,630,2537,3552,,,,,2024-03-05
CX6323,1,CX,国泰航空,寰宇一家,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,280,0,788,波音787(大),L,2024-04-01 18:20:00,2024-04-01 22:00:00,False,False,0,False,True,2024-04-01,18:20:00,2024-04-01,22:00:00,,JL,日本航空,寰宇一家,JL735,,10877,720,11597,12529,,,,,2024-03-05
UO653,1,UO,香港快运航空,,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,中国,CN,32,58,HKG,香港,HKG,香港国际机场,香港,T1,290,0,321,空客321(中),M,2024-04-01 21:25:00,2024-04-02 01:15:00,False,False,0,False,True,2024-04-01,21:25:00,2024-04-02,01:15:00,True,,,,,,1765,601,2366,3331,,,,,2024-03-05
