航班号,sequenceNo,marketAirlineCode,航空公司,marketAlliance,operateAirlineCode,operateAirlineName,operateAlliance,operateFlightNo,出发国家,departureCountryCode,departureProvinceId,departureCityId,departureCityCode,出发城市,出发机场三字码,出发机场,departureAirportShortName,departureTerminal,到达国家,arrivalCountryCode,arrivalProvinceId,arrivalCityId,arrivalCityCode,到达城市,到达机场三字码,到达机场,arrivalAirportShortName,arrivalTerminal,飞行时长,transferDuration,飞机型号三字码,飞机型号,飞机尺寸,departureDateTime,arrivalDateTime,leakedVisaTagSwitch,highLightPlaneNo,停留次数,istTransitService,mainSegment,出发日期,出发时间,到达日期,到达时间,isLowCostCarrier,economy_origin,economy_tax,economy_total,economy_full,bussiness_origin,bussiness_tax,bussiness_total,bussiness_full,数据获取日期
HO3131,1,HO,吉祥航空,星空联盟,NH,全日空航空,星空联盟,NH920,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,170,0,789,波音787(大),L,2024-04-01 13:05:00,2024-04-01 16:55:00,False,False,0,False,True,2024-04-01,13:05:00,2024-04-01,16:55:00,,7388,458,7846,8412,,,,,2024-03-31
JL080,1,JL,日本航空,寰宇一家,,,,,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,180,0,773,波音777(大),L,2024-04-01 09:00:00,2024-04-01 13:00:00,False,False,0,False,True,2024-04-01,09:00:00,2024-04-01,13:00:00,,7480,553,8033,8632,,,,,2024-03-31
FM3045,1,FM,上海航空,天合联盟,MU,东方航空,天合联盟,MU727,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,185,0,325,空客321(中),M,2024-04-01 07:55:00,2024-04-01 12:00:00,False,False,0,False,True,2024-04-01,07:55:00,2024-04-01,12:00:00,,4900,404,5304,5920,,,,,2024-03-31
MU523,1,MU,东方航空,天合联盟,,,,,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,165,0,359,空客350(大),L,2024-04-01 09:05:00,2024-04-01 12:50:00,False,False,0,False,True,2024-04-01,09:05:00,2024-04-01,12:50:00,,4900,404,5304,5853,,,,,2024-03-31
HO3137,1,HO,吉祥航空,星空联盟,NH,全日空航空,星空联盟,NH968,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,,175,0,788,波音787(大),L,2024-04-01 01:35:00,2024-04-01 05:30:00,False,False,0,False,True,2024-04-01,01:35:00,2024-04-01,05:30:00,,7388,458,7846,8428,,,,,2024-03-31
MU8631,1,MU,东方航空,天合联盟,FM,上海航空,天合联盟,FM815,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,190,0,789,波音787(大),L,2024-04-01 08:20:00,2024-04-01 12:30:00,False,False,0,False,True,2024-04-01,08:20:00,2024-04-01,12:30:00,,6900,404,7304,7936,,,,,2024-03-31
FM3039,1,FM,上海航空,天合联盟,MU,东方航空,天合联盟,MU521,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,190,0,33E,空客330(大),L,2024-04-01 11:45:00,2024-04-01 15:55:00,False,False,0,False,True,2024-04-01,11:45:00,2024-04-01,15:55:00,,4900,404,5304,5936,,,,,2024-03-31
NH920,1,NH,全日空航空,星空联盟,,,,,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T2,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T1,170,0,789,波音787(大),L,2024-04-01 13:05:00,2024-04-01 16:55:00,False,False,0,False,True,2024-04-01,13:05:00,2024-04-01,16:55:00,,4521,458,4979,5545,,,,,2024-03-31
JL082,1,JL,日本航空,寰宇一家,,,,,中国,CN,2,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,日本,JP,0,228,TYO,东京,HND,羽田机场,羽田,T3,175,0,773,波音777(大),L,2024-04-01 12:50:00,2024-04-01 16:45:00,False,False,0,False,True,2024-04-01,12:50:00,2024-04-01,16:45:00,,7524,553,8077,8659,,,,,2024-03-31
MU271,1,MU,东方航空,天合联盟,,,,,中国,CN,2,2,SHA,上海,PVG,浦东国际机场,浦东,T1,日本,JP,0,228,TYO,东京,NRT,成田国际机场,成田,T2,175,0,325,空客321(中),M,2024-04-01 17:00:00,2024-04-01 20:55:00,False,False,0,False,True,2024-04-01,17:00:00,2024-04-01,20:55:00,,4900,404,5304,5886,,,,,2024-03-31
